1388;POIGNEE DE MEUBLE REF F-368 128MM DOREE;;3.13;0.00;U
1389;VIS T.CHC 4/6 BOMBE INOX;;0.08;0.00;U
1390;VIS A-M TFC 4/8 INOX D7991;;0.09;0.00;U
1391;VERRE A DENT ( H 9.3 mm /D 7.8 mm );;2.20;3.59;U
1392;TECHWOOD-FER A VAPEUR;;0.00;197.06;U
1393;BOITE HERMETIQUE 500 ML;;4.50;5.50;U
1394;BOITE HERMETIQUE 750 ML;;5.50;6.50;U
1395;BOITE HERMETIQUE 1.2 L;;6.50;7.50;U
1396;BOITE HERMETIQUE 1.8 L;;7.50;8.50;U
1397;BOITE HERMETIQUE 2.5 L;;8.50;10.00;U
1398;GOBLET POLYC 27 CL;;0.00;1.88;U
1399;GOBLET POLYC 22 CL;;0.00;1.58;U
1400;PONT DE BAIGNOIRE EN BOIS HETRE;;77.35;166.60;U
1401;PANIER A LINGE RECTANGULAIRE;;35.70;63.07;U
1402;PLATEAU MODERNE 40*40 NOYER;;47.60;71.40;U
1403;PLATEAU MODERNE 50*30 NOYER;;47.60;71.40;U
1404;PLATEAU MODERNE 60*40 NOYER;;83.30;113.05;U
